store_id,last_one_hour uptime,last_one_hour downtime,last_one_hour unit,last_one_day uptime,last_one_day downtime,last_one_day unit,last_one_week uptime,last_one_week downtime,last_one_week unit
8445372164064960268,0,0,minutes,0,0,hours,0,0,hours
8316894844897055929,0,0,minutes,0,0,hours,0,0,hours
3676139268965286790,0,0,minutes,0,0,hours,0,0,hours
4301772298177454840,0,0,minutes,0,0,hours,0,0,hours
8281805787549037440,0,0,minutes,0,0,hours,0,0,hours
8018186541496678058,0,0,minutes,0,0,hours,0,0,hours
4382118344072425968,0,0,minutes,0,0,hours,0,0,hours
6833286636551589412,0,0,minutes,0,0,hours,0,0,hours
2599611321049050132,0,0,minutes,0,0,hours,0,0,hours
5172683340926528202,0,0,minutes,0,0,hours,0,0,hours
2444571783856717430,0,0,minutes,0,0,hours,0,0,hours
464344448013588853,0,0,minutes,0,0,hours,0,0,hours
5531489951592523305,0,0,minutes,0,0,hours,0,0,hours
7717660522305873406,0,0,minutes,0,0,hours,0,0,hours
8442155930538555912,0,0,minutes,0,0,hours,0,0,hours
1406152021548527918,0,0,minutes,0,0,hours,0,0,hours
2743917683024367670,0,0,minutes,0,0,hours,0,0,hours
1263313221864352798,0,0,minutes,0,0,hours,0,0,hours
6033078927093216807,0,0,minutes,0,0,hours,0,0,hours
5324764130529948850,0,0,minutes,0,0,hours,0,0,hours
5963244290990414105,0,0,minutes,0,0,hours,0,0,hours
60457724125785585,0,0,minutes,0,0,hours,0,0,hours
2485499600567598550,0,0,minutes,0,0,hours,0,0,hours
7079274467824786529,0,0,minutes,0,0,hours,0,0,hours
1759100766811847016,0,0,minutes,0,0,hours,0,0,hours
5953482702228811540,0,0,minutes,0,0,hours,0,0,hours
7782135406639936057,0,0,minutes,0,0,hours,0,0,hours
6561703302272808517,0,0,minutes,0,0,hours,0,0,hours
2716610122072123243,0,0,minutes,0,0,hours,0,0,hours
5347190332832093080,0,0,minutes,0,0,hours,0,0,hours
8358338731902291786,0,0,minutes,0,0,hours,0,0,hours
7494741768470986869,0,0,minutes,0,0,hours,0,0,hours
5871369041881192916,0,0,minutes,0,0,hours,0,0,hours
4093637869733340731,0,0,minutes,0,0,hours,0,0,hours
4944536771765996026,0,0,minutes,0,0,hours,0,0,hours
5638448267600207795,0,0,minutes,0,0,hours,0,0,hours
6077660293503601866,0,0,minutes,0,0,hours,0,0,hours
158406589678859173,0,0,minutes,0,0,hours,0,0,hours
7614824149049759851,0,0,minutes,0,0,hours,0,0,hours
4980781886232290796,0,0,minutes,0,0,hours,0,0,hours
148795032015503980,0,0,minutes,0,0,hours,0,0,hours
7048905833395581738,0,0,minutes,0,0,hours,0,0,hours
3520543761789396773,0,0,minutes,0,0,hours,0,0,hours
7700782639388559644,0,0,minutes,0,0,hours,0,0,hours
8032203943642240039,0,0,minutes,0,0,hours,0,0,hours
3511697439746388335,0,0,minutes,0,0,hours,0,0,hours
541109969542481625,0,0,minutes,0,0,hours,0,0,hours
