store_id,last_one_hour uptime,last_one_hour downtime,last_one_hour unit,last_one_day uptime,last_one_day downtime,last_one_day unit,last_one_week uptime,last_one_week downtime,last_one_week unit
8139926242460185114,0,0,minutes,0,0,hours,0,0,hours
5415949628544298339,0,0,minutes,0,0,hours,0,0,hours
3408529570017053440,0,0,minutes,0,0,hours,0,0,hours
9055649751952768824,0,0,minutes,0,0,hours,0,0,hours
4428372089193592098,0,0,minutes,0,0,hours,0,0,hours
2689959411535120475,0,0,minutes,0,0,hours,0,0,hours
8297996490922435741,0,0,minutes,0,0,hours,0,0,hours
1050565545391667097,0,0,minutes,0,0,hours,0,0,hours
3483930781272060942,0,0,minutes,0,0,hours,0,0,hours
1740222068509982431,0,0,minutes,0,0,hours,0,0,hours
2859012985063828777,0,0,minutes,0,0,hours,0,0,hours
3828361964081888905,0,0,minutes,0,0,hours,0,0,hours
5789640881970906690,0,0,minutes,0,0,hours,0,0,hours
5723059602183693938,0,0,minutes,0,0,hours,0,0,hours
4378293333107164443,0,0,minutes,0,0,hours,0,0,hours
8778651700128892847,0,0,minutes,0,0,hours,0,0,hours
6666934422919388376,0,0,minutes,0,0,hours,0,0,hours
6163165919739157695,0,0,minutes,0,0,hours,0,0,hours
2190599106298424769,0,0,minutes,0,0,hours,0,0,hours
2225219938220197351,0,0,minutes,0,0,hours,0,0,hours
5925159570709352168,0,0,minutes,0,0,hours,0,0,hours
8175229951397380687,0,0,minutes,0,0,hours,0,0,hours
4292660491880158081,0,0,minutes,0,0,hours,0,0,hours
6733800122189753654,0,0,minutes,0,0,hours,0,0,hours
7463734423358941330,0,0,minutes,0,0,hours,0,0,hours
7622852966095963272,0,0,minutes,0,0,hours,0,0,hours
6160914795278193489,0,0,minutes,0,0,hours,0,0,hours
338646328301262317,0,0,minutes,0,0,hours,0,0,hours
8640972490360190883,0,0,minutes,0,0,hours,0,0,hours
9058019541301770690,0,0,minutes,0,0,hours,0,0,hours
4381311595575895588,0,0,minutes,0,0,hours,0,0,hours
2248905253110987612,0,0,minutes,0,0,hours,0,0,hours
7968584600264951543,0,0,minutes,0,0,hours,0,0,hours
1655838063357762151,0,0,minutes,0,0,hours,0,0,hours
2118894053982561987,0,0,minutes,0,0,hours,0,0,hours
8471700099357897929,0,0,minutes,0,0,hours,0,0,hours
8372524645314576802,0,0,minutes,0,0,hours,0,0,hours
5552924050444994427,0,0,minutes,0,0,hours,0,0,hours
6921452823375303736,0,0,minutes,0,0,hours,0,0,hours
4529169694434968721,0,0,minutes,0,0,hours,0,0,hours
2787020355835455025,0,0,minutes,0,0,hours,0,0,hours
8971475435584615792,0,0,minutes,0,0,hours,0,0,hours
1236888576653956449,0,0,minutes,0,0,hours,0,0,hours
2739250325777580694,0,0,minutes,0,0,hours,0,0,hours
3114628966267234599,0,0,minutes,0,0,hours,0,0,hours
2958221658060682960,0,0,minutes,0,0,hours,0,0,hours
7972619999376644068,0,0,minutes,0,0,hours,0,0,hours
7786277334741505527,0,0,minutes,0,0,hours,0,0,hours
7263129728113095915,0,0,minutes,0,0,hours,0,0,hours
1501752248305324318,0,0,minutes,0,0,hours,0,0,hours
